"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"3";"";"C-EUC0805";"C0805";"C1, C2, C5";"CAPACITOR, European symbol";"";"";"";"";
"1";"";"CRYSTALHC49U70";"HC49U70";"Q1";"CRYSTAL";"";"";"unknown";"unknown";
"1";"";"DIL14S";"SOCKET-14";"IC2";"Dual In Line / Socket";"";"";"";"";
"1";"";"LED3MM";"LED3MM";"LED1";"LED";"";"";"";"";
"2";"";"PINHD-1X1";"1X01";"JP24, JP26";"PIN HEADER";"";"";"";"";
"10";"";"PINHD-1X2";"1X02";"JP2, JP3, JP5, JP6, JP10, JP11, JP13, JP14, JP15, JP19";"PIN HEADER";"";"";"";"";
"3";"";"PINHD-1X3";"1X03";"JP20, JP22, JP23";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-1X6";"1X06";"JP25";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-2X10";"2X10";"JP9";"PIN HEADER";"";"";"";"";
"1";"";"PINHD-2X2";"2X02";"JP21";"PIN HEADER";"";"";"";"";
"6";"";"PINHD-2X3";"2X03";"JP1, JP4, JP7, JP12, JP17, JP18";"PIN HEADER";"";"";"";"";
"2";"";"PINHD-2X4";"2X04";"JP8, JP16";"PIN HEADER";"";"";"";"";
"2";"100R";"R-US_M0805";"M0805";"R7, R8";"RESISTOR, American symbol";"";"";"";"";
"6";"100nF";"C-EUC0603";"C0603";"C17, C18, C19, C20, C21, C22";"CAPACITOR, European symbol";"";"";"";"";
"5";"100nF";"C-EUC0805";"C0805";"C3, C8, C10, C13, C28";"CAPACITOR, European symbol";"";"";"";"";
"2";"10nF";"C-EUC0603";"C0603";"C15, C16";"CAPACITOR, European symbol";"";"";"";"";
"1";"10nF";"C-EUC0805";"C0805";"C12";"CAPACITOR, European symbol";"";"";"";"";
"1";"10uF";"C-EUC0805";"C0805";"C27";"CAPACITOR, European symbol";"";"";"";"";
"2";"1uF";"C-EUC0603";"C0603";"C25, C26";"CAPACITOR, European symbol";"";"";"";"";
"3";"1uF";"C-EUC0805";"C0805";"C4, C9, C14";"CAPACITOR, European symbol";"";"";"";"";
"1";"1uH";"INDUCTOR0805";"0805";"L1";"Inductors";"";"";"";"";
"1";"220R";"R-US_R0805";"R0805";"R10";"RESISTOR, American symbol";"";"";"";"";
"2";"220uF";"CPOL-USE3.5-8";"E3,5-8";"C29, C30";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"2";"22nF";"C-EUC0603";"C0603";"C23, C24";"CAPACITOR, European symbol";"";"";"";"";
"2";"22pF";"C-EUC0805";"C0805";"C6, C7";"CAPACITOR, European symbol";"";"";"";"";
"1";"470nF";"C-EUC0805";"C0805";"C11";"CAPACITOR, European symbol";"";"";"";"";
"6";"50R";"R-US_R0805";"R0805";"R1, R2, R3, R4, R5, R6";"RESISTOR, American symbol";"";"";"";"";
"1";"5R";"R-US_R0805";"R0805";"R9";"RESISTOR, American symbol";"";"";"";"";
"1";"ATMEGA48/88/168-PU";"ATMEGA48/88/168-PU";"DIL28-3";"IC1";"";"";"";"";"";
"2";"BGA2801";"BGA2801";"SOTT323-6";"U1, U2";"";"";"";"";"";
"4";"BU-SMA-V";"BU-SMA-V";"BU-SMA-V";"X1, X2, X3, X4";"FEMALE SMA CONNECTOR";"";"";"unknown";"unknown";
"1";"CHIPCARD-SOCKET";"CHIPCARD-SOCKET";"7334L2622F05LF";"CON1";"";"";"";"";"";
"2";"OSC-OSCILLATOR";"OSC-OSCILLATOR";"OSCILLATOR_7X5_SMD";"Q2, Q3";"Oscillator";"";"";"";"";
"1";"XMEGA16A4A";"XMEGA16A4A";"TQFP44";"IC3";"MICROCONTROLLER";"";"";"unknown";"unknown";
